id,country,state,city,station,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
2220,India,Rajasthan,Hanumangarh,"Housing Board, Hanumangarh - RSPCB",CO,10,63,15
2222,India,Rajasthan,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",PM2.5,62,118,81
2238,India,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",NO2,NA,NA,NA
2247,India,Rajasthan,Jaipur,"RIICO Sitapura, Jaipur - RSPCB",SO2,1,7,1
2248,India,Rajasthan,Jaipur,"RIICO Sitapura, Jaipur - RSPCB",CO,6,52,14
2253,India,Rajasthan,Jaipur,"Sector-2 Murlipura, Jaipur - RSPCB",NH3,11,13,12
2260,India,Rajasthan,Jaipur,"Shastri Nagar, Jaipur - RSPCB",NH3,4,12,6
2268,India,Rajasthan,Jaisalmer,"Sadar Bazar, Jaisalmer - RSPCB",SO2,2,4,3
2271,India,Rajasthan,Jhalawar,"Rajlaxmi Nagar, Jhalawar - RSPCB",PM2.5,16,120,63
2279,India,Rajasthan,Jhunjhunu,"Indra Nagar, Jhunjhunu - RSPCB",PM10,87,124,104
2282,India,Rajasthan,Jhunjhunu,"Indra Nagar, Jhunjhunu - RSPCB",SO2,3,5,3
2287,India,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",NO2,15,16,16
704,India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",NO2,3,9,6
715,India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM",NO2,40,42,41
716,India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM",NH3,8,9,8
721,India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",NO2,13,122,50
747,India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",OZONE,9,9,9
756,India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB",PM10,18,98,74
757,India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB",NO2,32,33,32
758,India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB",NH3,NA,NA,NA
769,India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB",NO2,1,6,2
770,India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB",NH3,1,1,1
774,India,Gujarat,Nandesari,"GIDC, Nandesari - Nandesari Ind. Association",PM2.5,NA,NA,NA
775,India,Gujarat,Nandesari,"GIDC, Nandesari - Nandesari Ind. Association",PM10,NA,NA,NA
783,India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB",OZONE,1,1,1
784,India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB",PM2.5,46,72,60
785,India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB",PM10,80,118,101
791,India,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB",PM2.5,60,100,88
806,India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB",PM10,39,157,89
809,India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB",SO2,1,2,1
813,India,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB",PM10,48,74,61
821,India,Haryana,Charkhi Dadri,"Mini Secretariat, Charkhi Dadri - HSPCB",NO2,7,11,9
823,India,Haryana,Charkhi Dadri,"Mini Secretariat, Charkhi Dadri - HSPCB",SO2,6,11,9
824,India,Haryana,Charkhi Dadri,"Mini Secretariat, Charkhi Dadri - HSPCB",CO,7,23,18
831,India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB",CO,8,43,16
833,India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB",PM2.5,67,329,283
836,India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB",NH3,1,3,2
837,India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB",SO2,12,15,13
849,India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB",NO2,29,33,31
850,India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB",NH3,9,9,9
852,India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB",CO,14,79,39
860,India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB",PM10,73,88,81
863,India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB",SO2,4,8,7
867,India,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IMD",NO2,13,35,24
871,India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB",PM10,131,236,173
875,India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB",CO,12,22,20
878,India,Haryana,Gurugram,"Teri Gram, Gurugram - HSPCB",PM10,100,203,161
883,India,Haryana,Gurugram,"Teri Gram, Gurugram - HSPCB",OZONE,45,47,45
888,India,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",OZONE,18,54,23
895,India,Haryana,Hisar,"Urban Estate-II, Hisar - HSPCB",OZONE,79,110,93
903,India,Haryana,Kaithal,"Rishi Nagar, Kaithal - HSPCB",PM2.5,168,250,216
906,India,Haryana,Kaithal,"Rishi Nagar, Kaithal - HSPCB",NH3,4,7,5
918,India,Haryana,Kurukshetra,"Sector-7, Kurukshetra - HSPCB",PM10,105,189,133
924,India,Haryana,Mandikhera,"General Hospital, Mandikhera - HSPCB",PM2.5,6,45,18
932,India,Haryana,Manesar,"Sector-2 IMT, Manesar - HSPCB",PM10,46,74,62
933,India,Haryana,Manesar,"Sector-2 IMT, Manesar - HSPCB",NO2,11,20,15
943,India,Haryana,Narnaul,"Shastri Nagar, Narnaul - HSPCB",CO,104,108,105
945,India,Haryana,Palwal,"Shyam Nagar, Palwal - HSPCB",PM2.5,30,60,43
1360,India,Madhya Pradesh,Jabalpur,"Marhatal, Jabalpur - MPPCB",NO2,2,25,10
1365,India,Madhya Pradesh,Jabalpur,"Suhagi, Jabalpur - JMC",PM2.5,41,103,66
1368,India,Madhya Pradesh,Jabalpur,"Suhagi, Jabalpur - JMC",SO2,4,9,6
1369,India,Madhya Pradesh,Jabalpur,"Suhagi, Jabalpur - JMC",CO,9,102,11
1370,India,Madhya Pradesh,Jabalpur,"Suhagi, Jabalpur - JMC",OZONE,17,95,51
1373,India,Madhya Pradesh,Katni,"Gole Bazar, Katni - MPPCB",NO2,12,25,17
1374,India,Madhya Pradesh,Katni,"Gole Bazar, Katni - MPPCB",NH3,2,3,3
1376,India,Madhya Pradesh,Katni,"Gole Bazar, Katni - MPPCB",CO,15,42,40
1387,India,Madhya Pradesh,Mandideep,"Sector-D Industrial Area, Mandideep - MPPCB",SO2,10,60,18
1388,India,Madhya Pradesh,Mandideep,"Sector-D Industrial Area, Mandideep - MPPCB",CO,NA,NA,NA
1394,India,Madhya Pradesh,Pithampur,"Sector-2 Industrial Area, Pithampur - MPPCB",SO2,13,18,15
1397,India,Madhya Pradesh,Ratlam,"Shasthri Nagar, Ratlam - IPCA Lab",PM2.5,43,69,55
1407,India,Madhya Pradesh,Sagar,"Civil Lines, Sagar - MPPCB",OZONE,26,78,33
1418,India,Madhya Pradesh,Singrauli,"Suryakiran Bhawan NCL, Singrauli - MPPCB",SO2,10,76,32
1419,India,Madhya Pradesh,Singrauli,"Suryakiran Bhawan NCL, Singrauli - MPPCB",CO,12,92,57
1428,India,Maharashtra,Ahmednagar,"Tarakpur, Ahmednagar - MPCB",PM2.5,19,72,42
1430,India,Maharashtra,Ahmednagar,"Tarakpur, Ahmednagar - MPCB",NO2,15,102,35
1431,India,Maharashtra,Ahmednagar,"Tarakpur, Ahmednagar - MPCB",NH3,2,8,6
