Match,Team,BowlerName,Over,Maidens,Runs,Wickets,Economy,0s,4s,6s,WideBalls,NoBalls,MatchID
Netherlands vs Sri Lanka,Netherlands,Bas de Leede,3,0,29,0,9.66,7,4,0,2,0,ODI # 4676
Netherlands vs Sri Lanka,Netherlands,Roelof van der Merwe,9,0,42,0,4.66,25,3,0,1,0,ODI # 4676
Netherlands vs Sri Lanka,Netherlands,Colin Ackermann,8.2,0,39,1,4.68,25,3,0,0,0,ODI # 4676
England vs South Africa,England,Reece Topley,8.5,0,88,3,9.96,23,10,4,4,0,ODI # 4677
England vs South Africa,England,David Willey,9,1,61,0,6.77,27,6,2,3,1,ODI # 4677
England vs South Africa,England,Joe Root,6.1,0,48,0,7.78,6,2,2,0,0,ODI # 4677
England vs South Africa,England,Gus Atkinson,9,0,60,2,6.66,27,6,2,1,0,ODI # 4677
England vs South Africa,England,Mark Wood,7,0,76,0,10.85,9,10,2,1,0,ODI # 4677
England vs South Africa,England,Adil Rashid,10,0,61,2,6.1,20,4,1,0,0,ODI # 4677
England vs South Africa,South Africa,Lungi Ngidi,5,1,26,2,5.2,23,2,2,3,0,ODI # 4677
England vs South Africa,South Africa,Marco Jansen,5,0,35,2,7,19,4,2,1,0,ODI # 4677
England vs South Africa,South Africa,Kagiso Rabada,6,1,38,1,6.33,24,6,1,0,1,ODI # 4677
England vs South Africa,South Africa,Gerald Coetzee,4,0,35,3,8.75,13,5,1,1,0,ODI # 4677
England vs South Africa,South Africa,Keshav Maharaj,2,0,27,1,13.5,4,1,3,0,0,ODI # 4677
India vs New Zealand,India,Jasprit Bumrah,10,1,45,1,4.5,34,5,0,0,0,ODI # 4678
India vs New Zealand,India,Mohammed Siraj,10,1,45,1,4.5,34,3,1,4,0,ODI # 4678
India vs New Zealand,India,Mohammed Shami,10,0,54,5,5.4,32,6,1,0,0,ODI # 4678
India vs New Zealand,India,Ravindra Jadeja,10,0,48,0,4.8,28,2,1,0,0,ODI # 4678
India vs New Zealand,India,Kuldeep Yadav,10,0,73,2,7.3,25,3,4,3,0,ODI # 4678
India vs New Zealand,New Zealand,Trent Boult,10,0,60,1,6,33,6,2,1,0,ODI # 4678
India vs New Zealand,New Zealand,Matt Henry,9,0,55,1,6.11,31,7,2,0,0,ODI # 4678
India vs New Zealand,New Zealand,Mitchell Santner,10,0,37,1,3.7,32,1,1,0,0,ODI # 4678
India vs New Zealand,New Zealand,Lockie Ferguson,8,0,63,2,7.87,22,11,0,2,0,ODI # 4678
India vs New Zealand,New Zealand,Rachin Ravindra,9,0,46,0,5.11,28,3,2,1,0,ODI # 4678
India vs New Zealand,New Zealand,Glenn Phillips,2,0,12,0,6,3,1,0,0,0,ODI # 4678
Afghanistan vs Pakistan,Afghanistan,Naveen-ul-Haq,7,0,52,2,7.42,22,4,3,3,0,ODI # 4679
Afghanistan vs Pakistan,Afghanistan,Mujeeb Ur Rahman,8,0,55,0,6.87,20,5,2,0,0,ODI # 4679
Afghanistan vs Pakistan,Afghanistan,Mohammad Nabi,10,0,31,1,3.1,37,2,0,0,0,ODI # 4679
Afghanistan vs Pakistan,Afghanistan,Azmatullah Omarzai,5,0,50,1,10,9,4,2,3,0,ODI # 4679
Afghanistan vs Pakistan,Afghanistan,Rashid Khan,10,0,41,0,4.1,30,1,1,0,0,ODI # 4679
Afghanistan vs Pakistan,Afghanistan,Noor Ahmad,10,0,49,3,4.9,27,1,1,4,1,ODI # 4679
Afghanistan vs Pakistan,Pakistan,Shaheen Shah Afridi,10,0,58,1,5.8,27,5,0,2,0,ODI # 4679
Afghanistan vs Pakistan,Pakistan,Hasan Ali,10,1,44,1,4.4,42,4,2,1,0,ODI # 4679
Afghanistan vs Pakistan,Pakistan,Haris Rauf,8,1,53,0,6.62,19,6,0,3,0,ODI # 4679
Afghanistan vs Pakistan,Pakistan,Usama Mir,8,0,55,0,6.87,19,6,0,2,1,ODI # 4679
Afghanistan vs Pakistan,Pakistan,Shadab Khan,8,0,49,0,6.12,22,6,0,0,0,ODI # 4679
Afghanistan vs Pakistan,Pakistan,Iftikhar Ahmed,5,0,27,0,5.4,15,1,1,0,0,ODI # 4679
Bangladesh vs South Africa,Bangladesh,Mustafizur Rahman,9,0,76,0,8.44,15,7,2,2,0,ODI # 4680
Bangladesh vs South Africa,Bangladesh,Mehidy Hasan Miraz,9,0,44,1,4.88,29,3,1,2,0,ODI # 4680
Bangladesh vs South Africa,Bangladesh,Shoriful Islam,9,0,76,1,8.44,19,6,4,0,0,ODI # 4680
Bangladesh vs South Africa,Bangladesh,Shakib Al Hasan,9,0,69,1,7.66,24,5,4,1,0,ODI # 4680
Bangladesh vs South Africa,Bangladesh,Hasan Mahmud,6,0,67,2,11.16,12,3,6,1,0,ODI # 4680
Bangladesh vs South Africa,Bangladesh,Nasum Ahmed,5,0,27,0,5.4,11,1,1,0,0,ODI # 4680
