Match,Team,BowlerName,Over,Maidens,Runs,Wickets,Economy,0s,4s,6s,WideBalls,NoBalls,MatchID
England vs Sri Lanka,Sri Lanka,Lahiru Kumara,7,0,35,3,5,25,4,1,0,0,ODI # 4682
England vs Sri Lanka,Sri Lanka,Dhananjaya de Silva,1,0,10,0,10,2,2,0,0,0,ODI # 4682
England vs Sri Lanka,England,Chris Woakes,6,0,30,0,5,21,4,0,2,0,ODI # 4682
England vs Sri Lanka,England,David Willey,5,0,30,2,6,18,5,0,1,0,ODI # 4682
England vs Sri Lanka,England,Adil Rashid,4.4,0,39,0,8.35,9,1,3,0,0,ODI # 4682
England vs Sri Lanka,England,Mark Wood,4,0,23,0,5.75,12,3,0,0,0,ODI # 4682
England vs Sri Lanka,England,Liam Livingstone,3,0,17,0,5.66,8,2,0,0,0,ODI # 4682
England vs Sri Lanka,England,Moeen Ali,3,0,21,0,7,5,2,0,0,0,ODI # 4682
Pakistan vs South Africa,South Africa,Marco Jansen,9,1,43,3,4.77,40,5,0,6,2,ODI # 4683
Pakistan vs South Africa,South Africa,Lungi Ngidi,7.4,0,45,1,5.86,26,6,0,3,0,ODI # 4683
Pakistan vs South Africa,South Africa,Aiden Markram,4,0,20,0,5,12,2,0,0,0,ODI # 4683
Pakistan vs South Africa,South Africa,Keshav Maharaj,9,0,56,0,6.22,30,4,4,0,0,ODI # 4683
Pakistan vs South Africa,South Africa,Gerald Coetzee,7,0,42,2,6,20,4,1,1,0,ODI # 4683
Pakistan vs South Africa,South Africa,Tabraiz Shamsi,10,0,60,4,6,28,2,3,1,2,ODI # 4683
Pakistan vs South Africa,Pakistan,Iftikhar Ahmed,3,0,23,0,7.66,9,1,1,1,0,ODI # 4683
Pakistan vs South Africa,Pakistan,Shaheen Shah Afridi,10,0,45,3,4.5,37,5,0,3,0,ODI # 4683
Pakistan vs South Africa,Pakistan,Mohammad Nawaz,6.2,0,40,0,6.31,15,4,1,0,0,ODI # 4683
Pakistan vs South Africa,Pakistan,Haris Rauf,10,0,62,2,6.2,29,3,3,2,0,ODI # 4683
Pakistan vs South Africa,Pakistan,Mohammad Wasim,10,1,50,2,5,37,7,0,3,0,ODI # 4683
Pakistan vs South Africa,Pakistan,Usama Mir,8,0,45,2,5.62,25,1,3,1,0,ODI # 4683
Australia vs New Zealand,New Zealand,Matt Henry,6.2,0,67,1,10.57,21,8,4,2,2,ODI # 4684
Australia vs New Zealand,New Zealand,Trent Boult,10,0,77,3,7.7,25,7,3,3,0,ODI # 4684
Australia vs New Zealand,New Zealand,Lockie Ferguson,3,0,38,0,12.66,6,3,3,0,0,ODI # 4684
Australia vs New Zealand,New Zealand,Mitchell Santner,10,0,80,2,8,23,6,4,1,0,ODI # 4684
Australia vs New Zealand,New Zealand,Glenn Phillips,10,0,37,3,3.7,30,2,0,0,0,ODI # 4684
Australia vs New Zealand,New Zealand,Rachin Ravindra,8,0,56,0,7,18,5,2,0,0,ODI # 4684
Australia vs New Zealand,New Zealand,James Neesham,2,0,32,1,16,4,1,4,0,0,ODI # 4684
Australia vs New Zealand,Australia,Mitchell Starc,9,0,89,0,9.88,21,6,3,9,0,ODI # 4684
Australia vs New Zealand,Australia,Josh Hazlewood,9,0,70,2,7.77,24,9,2,1,0,ODI # 4684
Australia vs New Zealand,Australia,Pat Cummins,10,0,66,2,6.6,26,7,1,3,0,ODI # 4684
Australia vs New Zealand,Australia,Glenn Maxwell,10,0,62,1,6.2,22,4,2,0,0,ODI # 4684
Australia vs New Zealand,Australia,Adam Zampa,10,0,74,3,7.4,22,6,3,0,0,ODI # 4684
Australia vs New Zealand,Australia,Mitchell Marsh,2,0,18,0,9,3,1,1,1,0,ODI # 4684
Bangladesh vs Netherlands,Bangladesh,Shoriful Islam,10,0,51,2,5.1,38,5,1,3,0,ODI # 4685
Bangladesh vs Netherlands,Bangladesh,Taskin Ahmed,9,1,43,2,4.77,32,6,0,1,0,ODI # 4685
Bangladesh vs Netherlands,Bangladesh,Shakib Al Hasan,10,1,37,1,3.7,35,4,0,0,0,ODI # 4685
Bangladesh vs Netherlands,Bangladesh,Mehidy Hasan Miraz,4,0,17,0,4.25,10,1,0,0,0,ODI # 4685
Bangladesh vs Netherlands,Bangladesh,Mustafizur Rahman,10,1,36,2,3.6,36,3,0,1,0,ODI # 4685
Bangladesh vs Netherlands,Bangladesh,Mahedi Hasan,7,0,40,2,5.71,23,3,1,1,0,ODI # 4685
Bangladesh vs Netherlands,Netherlands,Aryan Dutt,10,3,26,1,2.6,48,3,1,0,0,ODI # 4685
Bangladesh vs Netherlands,Netherlands,Logan van Beek,9,1,30,1,3.33,39,3,0,4,0,ODI # 4685
Bangladesh vs Netherlands,Netherlands,Colin Ackermann,7,1,25,1,3.57,29,2,1,0,0,ODI # 4685
Bangladesh vs Netherlands,Netherlands,Paul van Meekeren,7.2,0,23,4,3.13,30,2,0,2,0,ODI # 4685
Bangladesh vs Netherlands,Netherlands,Bas de Leede,7,0,25,2,3.57,30,4,0,0,0,ODI # 4685
Bangladesh vs Netherlands,Netherlands,Shariz Ahmad,2,0,13,0,6.5,5,2,0,0,0,ODI # 4685
India vs England,England,David Willey,10,2,45,3,4.5,39,4,2,0,0,ODI # 4686
India vs England,England,Chris Woakes,9,1,33,2,3.66,36,3,0,1,0,ODI # 4686
India vs England,England,Adil Rashid,10,0,35,2,3.5,35,3,0,0,0,ODI # 4686
India vs England,England,Mark Wood,9,1,46,1,5.11,32,3,2,2,0,ODI # 4686
India vs England,England,Liam Livingstone,4,1,29,0,7.25,13,5,0,0,0,ODI # 4686
India vs England,England,Moeen Ali,8,0,37,0,4.62,19,2,0,0,0,ODI # 4686
India vs England,India,Jasprit Bumrah,6.5,1,32,3,4.68,31,3,2,2,0,ODI # 4686
India vs England,India,Mohammed Siraj,6,0,33,0,5.5,22,3,1,2,0,ODI # 4686
India vs England,India,Mohammed Shami,7,2,22,4,3.14,33,3,0,2,0,ODI # 4686
India vs England,India,Kuldeep Yadav,8,0,24,2,3,28,1,0,0,0,ODI # 4686
India vs England,India,Ravindra Jadeja,7,1,16,1,2.28,27,0,0,0,0,ODI # 4686
Afghanistan vs Sri Lanka,Afghanistan,Mujeeb Ur Rahman,10,0,38,2,3.8,29,2,0,0,0,ODI # 4687
Afghanistan vs Sri Lanka,Afghanistan,Fazalhaq Farooqi,10,1,34,4,3.4,42,3,1,0,0,ODI # 4687
Afghanistan vs Sri Lanka,Afghanistan,Naveen-ul-Haq,6.3,0,47,0,7.23,16,5,1,2,0,ODI # 4687
Afghanistan vs Sri Lanka,Afghanistan,Azmatullah Omarzai,7,0,37,1,5.28,22,5,0,1,0,ODI # 4687
Afghanistan vs Sri Lanka,Afghanistan,Rashid Khan,10,0,50,1,5,27,3,0,2,0,ODI # 4687
Afghanistan vs Sri Lanka,Afghanistan,Mohammad Nabi,6,0,33,0,5.5,11,1,0,0,0,ODI # 4687
Afghanistan vs Sri Lanka,Sri Lanka,Dilshan Madushanka,9,0,48,2,5.33,28,4,1,3,0,ODI # 4687
Afghanistan vs Sri Lanka,Sri Lanka,Kasun Rajitha,10,0,48,1,4.8,37,4,1,2,0,ODI # 4687
Afghanistan vs Sri Lanka,Sri Lanka,Angelo Mathews,3,0,18,0,6,8,2,0,0,0,ODI # 4687
Afghanistan vs Sri Lanka,Sri Lanka,Dushmantha Chameera,9.2,0,51,0,5.46,29,4,2,0,0,ODI # 4687
Afghanistan vs Sri Lanka,Sri Lanka,Maheesh Theekshana,10,0,55,0,5.5,25,3,1,3,0,ODI # 4687
Afghanistan vs Sri Lanka,Sri Lanka,Dhananjaya de Silva,4,0,21,0,5.25,9,2,0,0,0,ODI # 4687
Bangladesh vs Pakistan,Pakistan,Shaheen Shah Afridi,9,1,23,3,2.55,40,2,0,2,0,ODI # 4688
Bangladesh vs Pakistan,Pakistan,Iftikhar Ahmed,10,0,44,1,4.4,32,5,0,0,0,ODI # 4688
Bangladesh vs Pakistan,Pakistan,Haris Rauf,8,0,36,2,4.5,28,3,0,2,0,ODI # 4688
Bangladesh vs Pakistan,Pakistan,Mohammad Wasim,8.1,1,31,3,3.79,31,4,0,0,0,ODI # 4688
Bangladesh vs Pakistan,Pakistan,Usama Mir,10,0,66,1,6.6,27,5,3,1,0,ODI # 4688
Bangladesh vs Pakistan,Bangladesh,Taskin Ahmed,6,1,36,0,6,21,2,3,0,0,ODI # 4688
Bangladesh vs Pakistan,Bangladesh,Shoriful Islam,4,1,25,0,6.25,16,3,1,1,0,ODI # 4688
Bangladesh vs Pakistan,Bangladesh,Mehidy Hasan Miraz,9,0,60,3,6.66,25,3,4,0,0,ODI # 4688
Bangladesh vs Pakistan,Bangladesh,Mustafizur Rahman,7,0,47,0,6.71,23,9,0,1,0,ODI # 4688
Bangladesh vs Pakistan,Bangladesh,Shakib Al Hasan,5.3,0,30,0,5.45,13,1,1,0,0,ODI # 4688
Bangladesh vs Pakistan,Bangladesh,Najmul Hossain Shanto,1,0,5,0,5,4,1,0,0,0,ODI # 4688
New Zealand vs South Africa,New Zealand,Trent Boult,10,1,49,1,4.9,35,5,1,2,0,ODI # 4689
New Zealand vs South Africa,New Zealand,Matt Henry,5.3,0,31,0,5.63,20,4,1,1,0,ODI # 4689
New Zealand vs South Africa,New Zealand,Tim Southee,10,0,77,2,7.7,19,6,3,1,0,ODI # 4689
New Zealand vs South Africa,New Zealand,Mitchell Santner,10,0,58,0,5.8,18,2,1,2,0,ODI # 4689
New Zealand vs South Africa,New Zealand,Glenn Phillips,7,0,52,0,7.42,15,2,3,2,0,ODI # 4689
New Zealand vs South Africa,New Zealand,Rachin Ravindra,2,0,17,0,8.5,6,2,1,0,0,ODI # 4689
New Zealand vs South Africa,New Zealand,James Neesham,5.3,0,69,1,12.54,7,5,5,0,0,ODI # 4689
New Zealand vs South Africa,South Africa,Marco Jansen,8,1,31,3,3.87,29,3,0,1,1,ODI # 4689
New Zealand vs South Africa,South Africa,Lungi Ngidi,6,1,28,0,4.66,23,4,0,0,0,ODI # 4689
New Zealand vs South Africa,South Africa,Kagiso Rabada,6,2,16,1,2.66,27,2,0,0,0,ODI # 4689
New Zealand vs South Africa,South Africa,Gerald Coetzee,6.3,0,41,2,6.3,24,5,1,1,0,ODI # 4689
New Zealand vs South Africa,South Africa,Keshav Maharaj,9,0,46,4,5.11,32,3,3,0,0,ODI # 4689
India vs Sri Lanka,Sri Lanka,Dilshan Madushanka,10,0,80,5,8,25,8,2,6,0,ODI # 4690
India vs Sri Lanka,Sri Lanka,Dushmantha Chameera,10,2,71,1,7.1,28,8,2,0,0,ODI # 4690
India vs Sri Lanka,Sri Lanka,Kasun Rajitha,9,0,65,0,7.22,25,7,2,1,0,ODI # 4690
India vs Sri Lanka,Sri Lanka,Angelo Mathews,3,0,11,0,3.66,10,1,0,0,0,ODI # 4690
India vs Sri Lanka,Sri Lanka,Maheesh Theekshana,10,0,67,0,6.7,18,5,1,1,0,ODI # 4690
India vs Sri Lanka,Sri Lanka,Dushan Hemantha,8,0,52,0,6.5,17,2,2,0,1,ODI # 4690
India vs Sri Lanka,India,Jasprit Bumrah,5,1,8,1,1.6,26,0,0,3,0,ODI # 4690
India vs Sri Lanka,India,Mohammed Siraj,7,2,16,3,2.28,35,2,0,1,0,ODI # 4690
India vs Sri Lanka,India,Mohammed Shami,5,1,18,5,3.6,22,3,0,0,0,ODI # 4690
India vs Sri Lanka,India,Kuldeep Yadav,2,0,3,0,1.5,9,0,0,0,0,ODI # 4690
India vs Sri Lanka,India,Ravindra Jadeja,0.4,0,4,1,6,3,1,0,0,0,ODI # 4690
Afghanistan vs Netherlands,Afghanistan,Mujeeb Ur Rahman,10,0,40,1,4,40,4,0,3,0,ODI # 4691
Afghanistan vs Netherlands,Afghanistan,Fazalhaq Farooqi,5,0,36,0,7.2,20,8,0,2,0,ODI # 4691
Afghanistan vs Netherlands,Afghanistan,Azmatullah Omarzai,3,0,11,0,3.66,10,1,0,0,0,ODI # 4691
Afghanistan vs Netherlands,Afghanistan,Mohammad Nabi,9.3,1,28,3,2.94,39,3,0,1,0,ODI # 4691
Afghanistan vs Netherlands,Afghanistan,Rashid Khan,10,0,31,0,3.1,35,0,0,3,0,ODI # 4691
Afghanistan vs Netherlands,Afghanistan,Noor Ahmad,9,0,31,2,3.44,36,3,0,3,0,ODI # 4691
Afghanistan vs Netherlands,Netherlands,Aryan Dutt,8.3,0,49,0,5.76,25,6,0,3,0,ODI # 4691
Afghanistan vs Netherlands,Netherlands,Logan van Beek,7,0,30,1,4.28,26,3,0,2,0,ODI # 4691
Afghanistan vs Netherlands,Netherlands,Paul van Meekeren,5,0,35,0,7,15,6,0,1,1,ODI # 4691
Afghanistan vs Netherlands,Netherlands,Roelof van der Merwe,5,0,27,1,5.4,11,2,0,0,0,ODI # 4691
Afghanistan vs Netherlands,Netherlands,Saqib Zulfiqar,3,0,25,1,8.33,8,4,0,0,1,ODI # 4691
Afghanistan vs Netherlands,Netherlands,Colin Ackermann,3,0,12,0,4,8,0,0,1,0,ODI # 4691
New Zealand vs Pakistan,Pakistan,Shaheen Shah Afridi,10,0,90,0,9,24,11,2,5,0,ODI # 4692
New Zealand vs Pakistan,Pakistan,Hasan Ali,10,0,82,1,8.2,26,10,2,2,1,ODI # 4692
New Zealand vs Pakistan,Pakistan,Iftikhar Ahmed,8,0,55,1,6.87,20,8,0,0,0,ODI # 4692
New Zealand vs Pakistan,Pakistan,Haris Rauf,10,0,85,1,8.5,24,11,2,2,0,ODI # 4692
New Zealand vs Pakistan,Pakistan,Mohammad Wasim,10,0,60,3,6,28,4,1,3,0,ODI # 4692
New Zealand vs Pakistan,Pakistan,Agha Salman,2,0,21,0,10.5,3,2,1,1,0,ODI # 4692
New Zealand vs Pakistan,New Zealand,Trent Boult,6,0,50,0,8.33,20,7,2,2,0,ODI # 4692
New Zealand vs Pakistan,New Zealand,Tim Southee,5,0,27,1,5.4,17,1,2,0,0,ODI # 4692
New Zealand vs Pakistan,New Zealand,Mitchell Santner,5,0,35,0,7,13,1,3,0,0,ODI # 4692
New Zealand vs Pakistan,New Zealand,Glenn Phillips,5,1,42,0,8.4,13,3,3,0,0,ODI # 4692
New Zealand vs Pakistan,New Zealand,Ish Sodhi,4,0,44,0,11,6,3,3,1,0,ODI # 4692
New Zealand vs Pakistan,New Zealand,Daryl Mitchell,0.3,0,1,0,2,2,0,0,0,0,ODI # 4692
Australia vs England,England,David Willey,10,1,48,1,4.8,31,4,0,1,0,ODI # 4693
Australia vs England,England,Chris Woakes,9.3,0,54,4,5.68,31,5,1,0,0,ODI # 4693
Australia vs England,England,Mark Wood,10,0,70,2,7,27,9,0,3,0,ODI # 4693
Australia vs England,England,Liam Livingstone,6,0,42,1,7,10,2,1,0,0,ODI # 4693
Australia vs England,England,Moeen Ali,4,0,28,0,7,9,4,0,0,0,ODI # 4693
Australia vs England,England,Adil Rashid,10,0,38,2,3.8,34,1,1,0,0,ODI # 4693
Australia vs England,Australia,Mitchell Starc,10,0,66,2,6.6,29,7,1,4,0,ODI # 4693
Australia vs England,Australia,Josh Hazlewood,9.1,1,49,2,5.34,34,6,1,2,0,ODI # 4693
Australia vs England,Australia,Pat Cummins,10,1,49,2,4.9,32,5,1,0,0,ODI # 4693
Australia vs England,Australia,Adam Zampa,10,0,21,3,2.1,41,0,0,2,0,ODI # 4693
Australia vs England,Australia,Travis Head,5,0,28,0,5.6,12,0,2,0,0,ODI # 4693
Australia vs England,Australia,Marcus Stoinis,4,0,34,1,8.5,8,4,1,0,0,ODI # 4693
India vs South Africa,South Africa,Lungi Ngidi,8.2,0,63,1,7.56,29,8,3,2,0,ODI # 4694
India vs South Africa,South Africa,Marco Jansen,9.4,0,94,1,9.72,28,15,1,7,1,ODI # 4694
India vs South Africa,South Africa,Kagiso Rabada,10,1,48,1,4.8,33,6,0,0,0,ODI # 4694
India vs South Africa,South Africa,Keshav Maharaj,10,0,30,1,3,32,0,0,1,0,ODI # 4694
India vs South Africa,South Africa,Tabraiz Shamsi,10,0,72,1,7.2,22,5,1,7,1,ODI # 4694
India vs South Africa,South Africa,Aiden Markram,2,0,17,0,8.5,4,1,1,1,0,ODI # 4694
India vs South Africa,India,Jasprit Bumrah,5,0,14,0,2.8,23,2,0,1,0,ODI # 4694
India vs South Africa,India,Mohammed Siraj,4,1,11,1,2.75,18,1,0,0,0,ODI # 4694
India vs South Africa,India,Ravindra Jadeja,9,1,33,5,3.66,37,5,0,0,0,ODI # 4694
India vs South Africa,India,Mohammed Shami,4,0,18,2,4.5,16,2,0,1,0,ODI # 4694
India vs South Africa,India,Kuldeep Yadav,5.1,1,7,2,1.35,24,0,0,0,0,ODI # 4694
Bangladesh vs Sri Lanka,Bangladesh,Shoriful Islam,9.3,0,51,2,5.36,33,7,0,1,0,ODI # 4695
Bangladesh vs Sri Lanka,Bangladesh,Taskin Ahmed,10,1,39,0,3.9,39,5,0,1,0,ODI # 4695
Bangladesh vs Sri Lanka,Bangladesh,Tanzim Hasan Sakib,10,0,80,3,8,27,8,4,2,0,ODI # 4695
Bangladesh vs Sri Lanka,Bangladesh,Shakib Al Hasan,10,0,57,2,5.7,23,1,3,0,0,ODI # 4695
Bangladesh vs Sri Lanka,Bangladesh,Mehidy Hasan Miraz,10,0,49,1,4.9,30,6,0,0,0,ODI # 4695
Bangladesh vs Sri Lanka,Sri Lanka,Dilshan Madushanka,10,1,69,3,6.9,35,7,3,4,0,ODI # 4695
Bangladesh vs Sri Lanka,Sri Lanka,Maheesh Theekshana,9,0,44,2,4.88,34,6,0,3,0,ODI # 4695
Bangladesh vs Sri Lanka,Sri Lanka,Kasun Rajitha,4,0,47,0,11.75,7,5,3,0,0,ODI # 4695
Bangladesh vs Sri Lanka,Sri Lanka,Dushmantha Chameera,8,0,54,0,6.75,25,8,1,2,0,ODI # 4695
Bangladesh vs Sri Lanka,Sri Lanka,Angelo Mathews,7.1,1,35,2,4.88,24,4,0,1,0,ODI # 4695
Bangladesh vs Sri Lanka,Sri Lanka,Dhananjaya de Silva,3,0,20,0,6.66,8,3,0,0,0,ODI # 4695
Afghanistan vs Australia,Australia,Mitchell Starc,9,0,70,1,7.77,26,4,4,5,0,ODI # 4696
Afghanistan vs Australia,Australia,Josh Hazlewood,9,0,39,2,4.33,30,2,1,1,0,ODI # 4696
Afghanistan vs Australia,Australia,Glenn Maxwell,10,0,55,1,5.5,24,2,1,0,1,ODI # 4696
Afghanistan vs Australia,Australia,Pat Cummins,8,0,47,0,5.87,25,5,1,1,0,ODI # 4696
Afghanistan vs Australia,Australia,Adam Zampa,10,0,58,1,5.8,22,2,2,2,0,ODI # 4696
Afghanistan vs Australia,Australia,Travis Head,3,0,15,0,5,7,1,0,0,0,ODI # 4696
Afghanistan vs Australia,Australia,Marcus Stoinis,1,0,2,0,2,4,0,0,0,0,ODI # 4696
Afghanistan vs Australia,Afghanistan,Mujeeb Ur Rahman,8.5,1,72,0,8.15,28,8,4,0,0,ODI # 4696
Afghanistan vs Australia,Afghanistan,Naveen-ul-Haq,9,0,47,2,5.22,34,5,2,1,0,ODI # 4696
Afghanistan vs Australia,Afghanistan,Azmatullah Omarzai,7,1,52,2,7.42,25,7,2,1,0,ODI # 4696
Afghanistan vs Australia,Afghanistan,Rashid Khan,10,0,44,2,4.4,36,3,1,3,0,ODI # 4696
Afghanistan vs Australia,Afghanistan,Noor Ahmad,10,1,53,0,5.3,36,4,2,1,0,ODI # 4696
Afghanistan vs Australia,Afghanistan,Mohammad Nabi,2,0,20,0,10,6,3,1,0,0,ODI # 4696
England vs Netherlands,Netherlands,Aryan Dutt,10,0,67,2,6.7,30,5,3,1,1,ODI # 4697
England vs Netherlands,Netherlands,Logan van Beek,10,0,88,2,8.8,25,10,1,10,0,ODI # 4697
England vs Netherlands,Netherlands,Paul van Meekeren,10,0,57,1,5.7,28,5,0,5,0,ODI # 4697
England vs Netherlands,Netherlands,Bas de Leede,10,0,74,3,7.4,26,5,4,0,0,ODI # 4697
England vs Netherlands,Netherlands,Roelof van der Merwe,3,0,22,0,7.33,6,0,2,0,0,ODI # 4697
England vs Netherlands,Netherlands,Colin Ackermann,7,0,31,0,4.42,15,1,0,0,0,ODI # 4697
England vs Netherlands,England,Chris Woakes,7,0,19,1,2.71,33,2,0,2,0,ODI # 4697
England vs Netherlands,England,David Willey,7,2,19,2,2.71,33,3,0,0,0,ODI # 4697
England vs Netherlands,England,Gus Atkinson,7,0,41,0,5.85,25,4,2,1,0,ODI # 4697
England vs Netherlands,England,Moeen Ali,8.2,0,42,3,5.04,23,1,2,0,0,ODI # 4697
England vs Netherlands,England,Adil Rashid,8,0,54,3,6.75,22,5,2,1,0,ODI # 4697
New Zealand vs Sri Lanka,New Zealand,Trent Boult,10,3,37,3,3.7,45,6,0,3,0,ODI # 4698
New Zealand vs Sri Lanka,New Zealand,Tim Southee,8,0,52,1,6.5,29,6,3,0,0,ODI # 4698
New Zealand vs Sri Lanka,New Zealand,Lockie Ferguson,10,2,35,2,3.5,43,6,0,0,0,ODI # 4698
New Zealand vs Sri Lanka,New Zealand,Mitchell Santner,10,2,22,2,2.2,45,2,0,0,0,ODI # 4698
New Zealand vs Sri Lanka,New Zealand,Rachin Ravindra,7.4,0,21,2,2.73,28,1,0,0,0,ODI # 4698
New Zealand vs Sri Lanka,New Zealand,Glenn Phillips,1,0,3,0,3,3,0,0,0,0,ODI # 4698
New Zealand vs Sri Lanka,Sri Lanka,Dilshan Madushanka,6.2,0,58,0,9.15,16,11,0,1,0,ODI # 4698
New Zealand vs Sri Lanka,Sri Lanka,Maheesh Theekshana,7,0,43,1,6.14,24,6,1,0,0,ODI # 4698
New Zealand vs Sri Lanka,Sri Lanka,Dhananjaya de Silva,2,0,22,0,11,3,1,2,0,0,ODI # 4698
New Zealand vs Sri Lanka,Sri Lanka,Dushmantha Chameera,4,1,20,1,5,17,1,2,0,0,ODI # 4698
New Zealand vs Sri Lanka,Sri Lanka,Angelo Mathews,4,0,29,2,7.25,10,4,0,1,0,ODI # 4698
Afghanistan vs South Africa,South Africa,Kagiso Rabada,10,0,40,0,4,37,4,1,0,0,ODI # 4699
Afghanistan vs South Africa,South Africa,Lungi Ngidi,8.3,0,69,2,8.11,28,5,4,6,0,ODI # 4699
Afghanistan vs South Africa,South Africa,Aiden Markram,4.3,0,25,0,5.55,13,2,1,0,0,ODI # 4699
Afghanistan vs South Africa,South Africa,Gerald Coetzee,10,1,44,4,4.4,35,5,0,2,0,ODI # 4699
Afghanistan vs South Africa,South Africa,Keshav Maharaj,10,1,25,2,2.5,41,0,0,2,0,ODI # 4699
Afghanistan vs South Africa,South Africa,Andile Phehlukwayo,7,0,36,1,5.14,20,4,0,0,0,ODI # 4699
Afghanistan vs South Africa,Afghanistan,Mujeeb Ur Rahman,10,0,51,1,5.1,33,4,2,1,0,ODI # 4699
Afghanistan vs South Africa,Afghanistan,Naveen-ul-Haq,6.3,0,52,0,8,16,2,4,1,0,ODI # 4699
Afghanistan vs South Africa,Afghanistan,Mohammad Nabi,10,1,35,2,3.5,36,3,0,0,0,ODI # 4699
Afghanistan vs South Africa,Afghanistan,Azmatullah Omarzai,1,0,8,0,8,3,0,1,0,0,ODI # 4699
Afghanistan vs South Africa,Afghanistan,Rashid Khan,10,1,37,2,3.7,38,2,1,1,0,ODI # 4699
Afghanistan vs South Africa,Afghanistan,Noor Ahmad,9,0,49,0,5.44,23,3,0,3,0,ODI # 4699
Afghanistan vs South Africa,Afghanistan,Rahmat Shah,1,0,12,0,12,2,1,1,0,0,ODI # 4699
Australia vs Bangladesh,Australia,Josh Hazlewood,7,1,21,0,3,29,2,0,0,0,ODI # 4700
Australia vs Bangladesh,Australia,Pat Cummins,8,0,56,0,7,22,7,0,4,0,ODI # 4700
Australia vs Bangladesh,Australia,Sean Abbott,10,0,61,2,6.1,29,4,2,0,1,ODI # 4700
Australia vs Bangladesh,Australia,Mitchell Marsh,4,0,48,0,12,8,6,2,2,1,ODI # 4700
Australia vs Bangladesh,Australia,Adam Zampa,10,0,32,2,3.2,39,2,1,0,0,ODI # 4700
Australia vs Bangladesh,Australia,Travis Head,6,0,33,0,5.5,14,2,1,0,0,ODI # 4700
Australia vs Bangladesh,Australia,Marcus Stoinis,5,0,45,1,9,4,4,0,2,0,ODI # 4700
Australia vs Bangladesh,Bangladesh,Taskin Ahmed,10,0,61,1,6.1,30,6,2,1,0,ODI # 4700
Australia vs Bangladesh,Bangladesh,Mahedi Hasan,9,0,38,0,4.22,29,3,0,1,0,ODI # 4700
Australia vs Bangladesh,Bangladesh,Nasum Ahmed,10,0,85,0,8.5,21,9,3,1,0,ODI # 4700
Australia vs Bangladesh,Bangladesh,Mehidy Hasan Miraz,6,0,47,0,7.83,13,3,3,0,0,ODI # 4700
Australia vs Bangladesh,Bangladesh,Mustafizur Rahman,9.4,1,76,1,7.86,20,8,2,1,0,ODI # 4700
England vs Pakistan,Pakistan,Shaheen Shah Afridi,10,1,72,2,7.2,32,9,3,0,0,ODI # 4701
England vs Pakistan,Pakistan,Haris Rauf,10,0,64,3,6.4,32,7,0,3,0,ODI # 4701
England vs Pakistan,Pakistan,Iftikhar Ahmed,7,0,38,1,5.42,17,4,0,0,0,ODI # 4701
England vs Pakistan,Pakistan,Mohammad Wasim,10,0,74,2,7.4,26,7,3,1,0,ODI # 4701
England vs Pakistan,Pakistan,Shadab Khan,10,0,57,0,5.7,25,5,1,0,0,ODI # 4701
England vs Pakistan,Pakistan,Agha Salman,3,0,25,0,8.33,7,3,1,0,0,ODI # 4701
England vs Pakistan,England,David Willey,10,0,56,3,5.6,37,8,1,2,0,ODI # 4701
England vs Pakistan,England,Chris Woakes,5.3,0,27,1,4.9,22,5,0,0,0,ODI # 4701
England vs Pakistan,England,Adil Rashid,10,0,55,2,5.5,26,4,1,1,0,ODI # 4701
England vs Pakistan,England,Gus Atkinson,8,0,45,2,5.62,29,3,3,2,0,ODI # 4701
England vs Pakistan,England,Moeen Ali,10,0,60,2,6,27,7,1,0,0,ODI # 4701
India vs Netherlands,Netherlands,Aryan Dutt,7,0,52,0,7.42,19,7,1,1,0,ODI # 4702
India vs Netherlands,Netherlands,Logan van Beek,10,0,107,0,10.7,17,10,6,1,0,ODI # 4702
India vs Netherlands,Netherlands,Colin Ackermann,3,0,25,0,8.33,5,2,1,1,0,ODI # 4702
India vs Netherlands,Netherlands,Paul van Meekeren,10,0,90,1,9,19,6,5,2,1,ODI # 4702
India vs Netherlands,Netherlands,Roelof van der Merwe,10,0,53,1,5.3,27,4,1,0,0,ODI # 4702
India vs Netherlands,Netherlands,Bas de Leede,10,0,82,2,8.2,22,8,2,8,0,ODI # 4702
India vs Netherlands,India,Jasprit Bumrah,9,1,33,2,3.66,35,3,0,1,0,ODI # 4702
India vs Netherlands,India,Mohammed Siraj,6,1,29,2,4.83,23,5,0,1,0,ODI # 4702
India vs Netherlands,India,Mohammed Shami,6,0,41,0,6.83,15,4,1,1,0,ODI # 4702
India vs Netherlands,India,Kuldeep Yadav,10,1,41,2,4.1,39,1,3,0,0,ODI # 4702
India vs Netherlands,India,Ravindra Jadeja,9,0,49,2,5.44,31,4,2,1,0,ODI # 4702
India vs Netherlands,India,Virat Kohli,3,0,13,1,4.33,10,1,0,0,0,ODI # 4702
India vs Netherlands,India,Shubman Gill,2,0,11,0,5.5,4,1,0,0,0,ODI # 4702
India vs Netherlands,India,Suryakumar Yadav,2,0,17,0,8.5,5,0,2,0,0,ODI # 4702
India vs Netherlands,India,Rohit Sharma,0.5,0,7,1,8.4,3,0,1,0,0,ODI # 4702
India vs New Zealand,New Zealand,Trent Boult,10,0,86,1,8.6,26,9,4,2,0,ODI # 4703
