Match,TeamInnings,BattingPosition,BatsmenName,RunsScored,BallsFaced,4s,6s,StrikeRate,NotOut,MatchID
Australia vs Pakistan,Australia,2,Mitchell Marsh,121,108,10,9,112.03 ,0,ODI # 4675
Australia vs Pakistan,Australia,3,Glenn Maxwell,0,1,0,0,0.00 ,0,ODI # 4675
Australia vs Pakistan,Australia,4,Steven Smith,7,9,0,0,77.77 ,0,ODI # 4675
Australia vs Pakistan,Australia,5,Marcus Stoinis,21,24,1,1,87.50 ,0,ODI # 4675
Australia vs Pakistan,Australia,6,Josh Inglis,13,9,3,0,144.44 ,0,ODI # 4675
Australia vs Pakistan,Australia,7,Marnus Labuschagne,8,12,1,0,66.66 ,0,ODI # 4675
Australia vs Pakistan,Australia,8,Pat Cummins,6,8,0,0,75.00 ,1,ODI # 4675
Australia vs Pakistan,Australia,9,Mitchell Starc,2,3,0,0,66.66 ,0,ODI # 4675
Australia vs Pakistan,Australia,10,Josh Hazlewood,0,1,0,0,0.00 ,0,ODI # 4675
Australia vs Pakistan,Australia,11,Adam Zampa,1,1,0,0,100.00 ,1,ODI # 4675
Australia vs Pakistan,Pakistan,1,Abdullah Shafique,64,61,7,2,104.91 ,0,ODI # 4675
Australia vs Pakistan,Pakistan,2,ImamNaNulNaNHaq,70,71,10,0,98.59 ,0,ODI # 4675
Australia vs Pakistan,Pakistan,3,Babar Azam,18,14,3,0,128.57 ,0,ODI # 4675
Australia vs Pakistan,Pakistan,4,Mohammad Rizwan,46,40,5,0,115.00 ,0,ODI # 4675
Australia vs Pakistan,Pakistan,5,Saud Shakeel,30,31,5,0,96.77 ,0,ODI # 4675
Australia vs Pakistan,Pakistan,6,Iftikhar Ahmed,26,20,0,3,130.00 ,0,ODI # 4675
Australia vs Pakistan,Pakistan,7,Mohammad Nawaz,14,16,0,1,87.50 ,0,ODI # 4675
Australia vs Pakistan,Pakistan,8,Usama Mir,0,3,0,0,0.00 ,0,ODI # 4675
Australia vs Pakistan,Pakistan,9,Shaheen Shah Afridi,10,8,2,0,125.00 ,0,ODI # 4675
Australia vs Pakistan,Pakistan,10,Hasan Ali,8,8,2,0,100.00 ,0,ODI # 4675
Australia vs Pakistan,Pakistan,11,Haris Rauf,0,1,0,0,0.00 ,1,ODI # 4675
Netherlands vs Sri Lanka,Netherlands,1,Vikramjit Singh,4,13,1,0,30.76 ,0,ODI # 4676
Netherlands vs Sri Lanka,Netherlands,2,Max O'Dowd,16,27,1,1,59.25 ,0,ODI # 4676
Netherlands vs Sri Lanka,Netherlands,3,Colin Ackermann,29,31,5,0,93.54 ,0,ODI # 4676
Netherlands vs Sri Lanka,Netherlands,4,Bas de Leede,6,21,0,0,28.57 ,0,ODI # 4676
Netherlands vs Sri Lanka,Netherlands,5,Teja Nidamanuru,9,16,0,0,56.25 ,0,ODI # 4676
Netherlands vs Sri Lanka,Netherlands,6,Scott Edwards,16,16,0,0,100.00 ,0,ODI # 4676
Netherlands vs Sri Lanka,Netherlands,7,Sybrand Engelbrecht,70,82,4,1,85.36 ,0,ODI # 4676
Netherlands vs Sri Lanka,Netherlands,8,Logan van Beek,59,75,1,1,78.66 ,0,ODI # 4676
Netherlands vs Sri Lanka,Netherlands,9,Roelof van der Merwe,7,7,0,0,100.00 ,0,ODI # 4676
Netherlands vs Sri Lanka,Netherlands,10,Aryan Dutt,9,6,1,0,150.00 ,1,ODI # 4676
Netherlands vs Sri Lanka,Netherlands,11,Paul van Meekeren,4,5,0,0,80.00 ,0,ODI # 4676
Netherlands vs Sri Lanka,Sri Lanka,1,Pathum Nissanka,54,52,9,0,103.84 ,0,ODI # 4676
Netherlands vs Sri Lanka,Sri Lanka,2,Kusal Perera,5,8,1,0,62.50 ,0,ODI # 4676
Netherlands vs Sri Lanka,Sri Lanka,3,Kusal Mendis,11,17,2,0,64.70 ,0,ODI # 4676
Netherlands vs Sri Lanka,Sri Lanka,4,Sadeera Samarawickrama,91,107,7,0,85.04 ,1,ODI # 4676
Netherlands vs Sri Lanka,Sri Lanka,5,Charith Asalanka,44,66,2,1,66.66 ,0,ODI # 4676
Netherlands vs Sri Lanka,Sri Lanka,6,Dhananjaya de Silva,30,37,1,2,81.08 ,0,ODI # 4676
Netherlands vs Sri Lanka,Sri Lanka,7,Dushan Hemantha,4,3,1,0,133.33 ,1,ODI # 4676
England vs South Africa,South Africa,1,Quinton de Kock,4,2,1,0,200.00 ,0,ODI # 4677
England vs South Africa,South Africa,2,Reeza Hendricks,85,75,9,3,113.33 ,0,ODI # 4677
England vs South Africa,South Africa,3,Rassie van der Dussen,60,61,8,0,98.36 ,0,ODI # 4677
England vs South Africa,South Africa,4,Aiden Markram,42,44,4,0,95.45 ,0,ODI # 4677
England vs South Africa,South Africa,5,Heinrich Klaasen,109,67,12,4,162.68 ,0,ODI # 4677
England vs South Africa,South Africa,6,David Miller,5,6,1,0,83.33 ,0,ODI # 4677
England vs South Africa,South Africa,7,Marco Jansen,75,42,3,6,178.57 ,1,ODI # 4677
England vs South Africa,South Africa,8,Gerald Coetzee,3,3,0,0,100.00 ,0,ODI # 4677
England vs South Africa,South Africa,9,Keshav Maharaj,1,1,0,0,100.00 ,1,ODI # 4677
England vs South Africa,England,1,Jonny Bairstow,10,12,1,1,83.33 ,0,ODI # 4677
England vs South Africa,England,2,Dawid Malan,6,11,1,0,54.54 ,0,ODI # 4677
England vs South Africa,England,3,Joe Root,2,6,0,0,33.33 ,0,ODI # 4677
England vs South Africa,England,4,Ben Stokes,5,8,1,0,62.50 ,0,ODI # 4677
England vs South Africa,England,5,Harry Brook,17,25,2,1,68.00 ,0,ODI # 4677
England vs South Africa,England,6,Jos Buttler,15,7,2,1,214.28 ,0,ODI # 4677
England vs South Africa,England,7,David Willey,12,12,1,1,100.00 ,0,ODI # 4677
England vs South Africa,England,8,Adil Rashid,10,14,1,0,71.42 ,0,ODI # 4677
England vs South Africa,England,9,Gus Atkinson,35,21,7,0,166.66 ,1,ODI # 4677
England vs South Africa,England,10,Mark Wood,43,17,2,5,252.94 ,0,ODI # 4677
India vs New Zealand,New Zealand,1,Devon Conway,0,9,0,0,0.00 ,0,ODI # 4678
India vs New Zealand,New Zealand,2,Will Young,17,27,3,0,62.96 ,0,ODI # 4678
India vs New Zealand,New Zealand,3,Rachin Ravindra,75,87,6,1,86.20 ,0,ODI # 4678
India vs New Zealand,New Zealand,4,Daryl Mitchell,130,127,9,5,102.36 ,0,ODI # 4678
India vs New Zealand,New Zealand,5,Tom Latham,5,7,1,0,71.42 ,0,ODI # 4678
India vs New Zealand,New Zealand,6,Glenn Phillips,23,26,0,1,88.46 ,0,ODI # 4678
India vs New Zealand,New Zealand,7,Mark Chapman,6,8,0,0,75.00 ,0,ODI # 4678
India vs New Zealand,New Zealand,8,Mitchell Santner,1,2,0,0,50.00 ,0,ODI # 4678
India vs New Zealand,New Zealand,9,Matt Henry,0,1,0,0,0.00 ,0,ODI # 4678
India vs New Zealand,New Zealand,10,Lockie Ferguson,1,5,0,0,20.00 ,0,ODI # 4678
India vs New Zealand,New Zealand,11,Trent Boult,0,1,0,0,0.00 ,1,ODI # 4678
India vs New Zealand,India,1,Rohit Sharma,46,40,4,4,115.00 ,0,ODI # 4678
India vs New Zealand,India,2,Shubman Gill,26,31,5,0,83.87 ,0,ODI # 4678
India vs New Zealand,India,3,Virat Kohli,95,104,8,2,91.34 ,0,ODI # 4678
India vs New Zealand,India,4,Shreyas Iyer,33,29,6,0,113.79 ,0,ODI # 4678
India vs New Zealand,India,5,KL Rahul,27,35,3,0,77.14 ,0,ODI # 4678
India vs New Zealand,India,6,Suryakumar Yadav,2,4,0,0,50.00 ,0,ODI # 4678
India vs New Zealand,India,7,Ravindra Jadeja,39,44,3,1,88.63 ,1,ODI # 4678
India vs New Zealand,India,8,Mohammed Shami,1,1,0,0,100.00 ,1,ODI # 4678
Afghanistan vs Pakistan,Pakistan,1,Abdullah Shafique,58,75,5,2,77.33 ,0,ODI # 4679
Afghanistan vs Pakistan,Pakistan,2,ImamNaNulNaNHaq,17,22,2,0,77.27 ,0,ODI # 4679
Afghanistan vs Pakistan,Pakistan,3,Babar Azam,74,92,4,1,80.43 ,0,ODI # 4679
Afghanistan vs Pakistan,Pakistan,4,Mohammad Rizwan,8,10,0,1,80.00 ,0,ODI # 4679
Afghanistan vs Pakistan,Pakistan,5,Saud Shakeel,25,34,3,0,73.52 ,0,ODI # 4679
Afghanistan vs Pakistan,Pakistan,6,Shadab Khan,40,38,1,1,105.26 ,0,ODI # 4679
Afghanistan vs Pakistan,Pakistan,7,Iftikhar Ahmed,40,27,2,4,148.14 ,0,ODI # 4679
Afghanistan vs Pakistan,Pakistan,8,Shaheen Shah Afridi,3,3,0,0,100.00 ,1,ODI # 4679
Afghanistan vs Pakistan,Afghanistan,1,Rahmanullah Gurbaz,65,53,9,1,122.64 ,0,ODI # 4679
Afghanistan vs Pakistan,Afghanistan,2,Ibrahim Zadran,87,113,10,0,76.99 ,0,ODI # 4679
Afghanistan vs Pakistan,Afghanistan,3,Rahmat Shah,77,84,5,2,91.66 ,1,ODI # 4679
Afghanistan vs Pakistan,Afghanistan,4,Hashmatullah Shahidi,48,45,4,0,106.66 ,1,ODI # 4679
Bangladesh vs South Africa,South Africa,1,Quinton de Kock,174,140,15,7,124.28 ,0,ODI # 4680
Bangladesh vs South Africa,South Africa,2,Reeza Hendricks,12,19,1,0,63.15 ,0,ODI # 4680
Bangladesh vs South Africa,South Africa,3,Rassie van der Dussen,1,7,0,0,14.28 ,0,ODI # 4680
Bangladesh vs South Africa,South Africa,4,Aiden Markram,60,69,7,0,86.95 ,0,ODI # 4680
Bangladesh vs South Africa,South Africa,5,Heinrich Klaasen,90,49,2,8,183.67 ,0,ODI # 4680
Bangladesh vs South Africa,South Africa,6,David Miller,34,15,1,4,226.66 ,1,ODI # 4680
Bangladesh vs South Africa,South Africa,7,Marco Jansen,1,1,0,0,100.00 ,1,ODI # 4680
Bangladesh vs South Africa,Bangladesh,1,Tanzid Hasan,12,17,1,0,70.58 ,0,ODI # 4680
Bangladesh vs South Africa,Bangladesh,2,Litton Das,22,44,3,1,50.00 ,0,ODI # 4680
Bangladesh vs South Africa,Bangladesh,3,Najmul Hossain Shanto,0,1,0,0,0.00 ,0,ODI # 4680
Bangladesh vs South Africa,Bangladesh,4,Shakib Al Hasan,1,4,0,0,25.00 ,0,ODI # 4680
Bangladesh vs South Africa,Bangladesh,5,Mushfiqur Rahim,8,17,1,0,47.05 ,0,ODI # 4680
Bangladesh vs South Africa,Bangladesh,6,Mahmudullah,111,111,11,4,100.00 ,0,ODI # 4680
Bangladesh vs South Africa,Bangladesh,7,Mehidy Hasan Miraz,11,19,1,0,57.89 ,0,ODI # 4680
Bangladesh vs South Africa,Bangladesh,8,Nasum Ahmed,19,19,3,0,100.00 ,0,ODI # 4680
Bangladesh vs South Africa,Bangladesh,9,Hasan Mahmud,15,25,2,0,60.00 ,0,ODI # 4680
Bangladesh vs South Africa,Bangladesh,10,Mustafizur Rahman,11,21,2,0,52.38 ,0,ODI # 4680
Bangladesh vs South Africa,Bangladesh,11,Shoriful Islam,6,4,1,0,150.00 ,1,ODI # 4680
Australia vs Netherlands,Australia,1,Mitchell Marsh,9,15,2,0,60.00 ,0,ODI # 4681
Australia vs Netherlands,Australia,2,David Warner,104,93,11,3,111.82 ,0,ODI # 4681
Australia vs Netherlands,Australia,3,Steven Smith,71,68,9,1,104.41 ,0,ODI # 4681
Australia vs Netherlands,Australia,4,Marnus Labuschagne,62,47,7,2,131.91 ,0,ODI # 4681
